Drug,Year,Type,NumDeath
Heroin,1997,Drugs,281
Heroin,1998,Drugs,351
Heroin,1999,Drugs,441
Heroin,2000,Drugs,417
Heroin,2001,Drugs,113
Heroin,2002,Drugs,97
Heroin,2003,Drugs,151
Heroin,2004,Drugs,138
Heroin,2005,Drugs,131
Heroin,2006,Drugs,73
Heroin,2007,Drugs,127
Heroin,2008,Drugs,179
Heroin,2009,Drugs,202
Heroin,2010,Drugs,221
Heroin,2011,Drugs,221
Heroin,2012,Drugs,174
Heroin,2013,Drugs,207
Heroin,2014,Drugs,237
Heroin,2015,Drugs,308
Heroin,2016,Drugs,399
Heroin,2017,Drugs,444
Heroin,2018,Drugs,456
Heroin,2019,Drugs,474
Heroin,1997,DeathsPer,1.5
Heroin,1998,DeathsPer,1.8
Heroin,1999,DeathsPer,2.3
Heroin,2000,DeathsPer,2.2
Heroin,2001,DeathsPer,0.6
Heroin,2002,DeathsPer,0.5
Heroin,2003,DeathsPer,0.8
Heroin,2004,DeathsPer,0.7
Heroin,2005,DeathsPer,0.7
Heroin,2006,DeathsPer,0.4
Heroin,2007,DeathsPer,0.6
Heroin,2008,DeathsPer,0.9
Heroin,2009,DeathsPer,1
Heroin,2010,DeathsPer,1
Heroin,2011,DeathsPer,1
Heroin,2012,DeathsPer,0.8
Heroin,2013,DeathsPer,0.9
Heroin,2014,DeathsPer,1
Heroin,2015,DeathsPer,1.4
Heroin,2016,DeathsPer,1.7
Heroin,2017,DeathsPer,1.9
Heroin,2018,DeathsPer,1.9
Heroin,2019,DeathsPer,1.9
Natural and semi-synthetic opioids,1997,Drugs,455
Natural and semi-synthetic opioids,1998,Drugs,457
Natural and semi-synthetic opioids,1999,Drugs,678
Natural and semi-synthetic opioids,2000,Drugs,490
Natural and semi-synthetic opioids,2001,Drugs,227
Natural and semi-synthetic opioids,2002,Drugs,243
Natural and semi-synthetic opioids,2003,Drugs,187
Natural and semi-synthetic opioids,2004,Drugs,200
Natural and semi-synthetic opioids,2005,Drugs,232
Natural and semi-synthetic opioids,2006,Drugs,242
Natural and semi-synthetic opioids,2007,Drugs,292
Natural and semi-synthetic opioids,2008,Drugs,375
Natural and semi-synthetic opioids,2009,Drugs,418
Natural and semi-synthetic opioids,2010,Drugs,417
Natural and semi-synthetic opioids,2011,Drugs,392
Natural and semi-synthetic opioids,2012,Drugs,447
Natural and semi-synthetic opioids,2013,Drugs,416
Natural and semi-synthetic opioids,2014,Drugs,603
Natural and semi-synthetic opioids,2015,Drugs,590
Natural and semi-synthetic opioids,2016,Drugs,613
Natural and semi-synthetic opioids,2017,Drugs,654
Natural and semi-synthetic opioids,2018,Drugs,501
Natural and semi-synthetic opioids,2019,Drugs,466
Natural and semi-synthetic opioids,1997,DeathsPer,2.4
Natural and semi-synthetic opioids,1998,DeathsPer,2.4
Natural and semi-synthetic opioids,1999,DeathsPer,3.6
Natural and semi-synthetic opioids,2000,DeathsPer,2.6
Natural and semi-synthetic opioids,2001,DeathsPer,1.2
Natural and semi-synthetic opioids,2002,DeathsPer,1.2
Natural and semi-synthetic opioids,2003,DeathsPer,1
